PSA,the_geom,BOROUGH,ADDRESS,ZIPCODE
POLICE SERVICE AREA #1,POINT (-73.99033262283454 40.5769455860406),BROOKLYN,2860 WEST 23RD STREET,11224
POLICE SERVICE AREA #1 SATELLITE,POINT (-74.00884978181097 40.676281335424854),BROOKLYN,80 DWIGHT STREET,11231
POLICE SERVICE AREA #1 SATELLITE,POINT (-73.89354901006145 40.64839797465251),BROOKLYN,106-09 FLATLANDS AVENUE,11236
POLICE SERVICE AREA #2,POINT (-73.8982662469963 40.668850491453505),BROOKLYN,560 SUTTER AVENUE,11207
POLICE SERVICE AREA #3,POINT (-73.93245118227533 40.70232141239177),BROOKLYN,25 CENTRAL AVENUE,11206
POLICE SERVICE AREA #3 SATELLITE,POINT (-73.97722447163565 40.69423898779587),BROOKLYN,4 AUBURN PLACE,11205
POLICE SERVICE AREA #4,POINT (-73.97821878895007 40.724816963252145),MANHATTAN,130 AVENUE C,10009
POLICE SERVICE AREA #5,POINT (-73.93621227544439 40.80223956194741),MANHATTAN,221 EAST 123RD STREET,10035
POLICE SERVICE AREA #6,POINT (-73.94083621481255 40.824176456381316),MANHATTAN,2770 F DOUGLASS BOULEVARD,10039
POLICE SERVICE AREA #7,POINT (-73.9157037952378 40.82082615134874),BRONX,737 MELROSE AVENUE,10455
POLICE SERVICE AREA #8,POINT (-73.82557436074568 40.82422560890512),BRONX,2794 RANDALL AVENUE,10465
POLICE SERVICE AREA #8 SATELLITE,POINT (-73.84411219713301 40.886436933209765),BRONX,1165 EAST 229TH STREET,10466
POLICE SERVICE AREA #9,POINT (-73.81303473776904 40.73263297209244),QUEENS,155-09 JEWEL AVENUE,11367
POLICE SERVICE AREA #9 SATELLITE,POINT (-73.93484755646462 40.76153301603693),QUEENS,34-41 21ST STREET,11106
POLICE SERVICE AREA #9 SATELLITE/FAR ROCKAWAY,POINT (-73.78460456697525 40.59400413729908),QUEENS,349 BEACH 54TH STREET,11692
POLICE SERVICE AREA SATELLITE/STATEN ISLAND HOUSING UNIT,POINT (-74.07764513863239 40.59468755190394),STATEN ISLAND,154 LAMPORT BOULEVARD,10305
